Givenname,Surname,Streetaddress,City,Zipcode,Country,CountryCode,NationalId,TelephoneCountryCode,Telephone,Birthday,ConsentToContact
Gustav,Nilsson,Ektorget 35,Linköping,54312,Sverige,SE,19751026-1489,+46,+46 (0)84 16 17 68,1975-10-26,True
Elisabet,Olofsson,Björkgatan 31,Luleå,98520,Sverige,SE,19460510-1360,+46,08-276 05 08,1946-05-10,True
Teresia,Bergman,Skolgatan 387,Karlstad,82872,Sverige,SE,19940422-8977,+46,084-520 41 22,1994-04-22,True
Kirsten,Knutsen,Andersenekra 8,Holm,3535,Norge,NO,19950202-1480,+47,28 91 64 30,1995-02-02,True
Johanna,Olsson,Åkergatan 7,Sundsvall,51970,Sverige,SE,19471206-2475,+46,080-54 57 26,1947-12-06,True
Stephen,Gillespie,Kelly Fall 63303,Paulafort,93560,Danmark,DK,19850326-3614,+45,(606)938-1714,1985-03-26,True
Päivikki,Valkonen,Iltatähdenkuja 116,Virolahti,46636,Finland,FI,19481027-023F,+358,+358 35 8220518,1948-10-27,True
Svein,Christensen,Tveitskrenten 16,Madsen,7466,Norge,NO,19700313-6746,+47,26897872,1970-03-13,True
Bo,Svensson,Ängsvägen 240,Nyköping,48854,Sverige,SE,19620206-4023,+46,+46 (0)8 781 926 87,1962-02-06,True
Elisabeth,Jansson,Idrottsgatan 056,Falun,46815,Sverige,SE,19710228-7852,+46,08-441 64 63,1971-02-28,True
Line,Aas,Vikgata 1,Haugen,3115,Norge,NO,19901108-4496,+47,96364890,1990-11-08,True
Birgitta,Lundqvist,Aspgatan 168,Södertälje,75960,Sverige,SE,19481209-0198,+46,08-49 97 23,1948-12-09,True
Lennart,Johansson,Backstigen 589,Uppsala,15803,Sverige,SE,19831023-1673,+46,08-959 330 74,1983-10-23,True
Tone,Gundersen,Nygårdstykket 67,Ellingsen,9833,Norge,NO,19830220-3680,+47,975 57 545,1983-02-20,True
Melissa,White,Bishop Meadows 111,Lake Gregory,98610,Danmark,DK,19510701-2980,+45,823-705-8966x86131,1951-07-01,True
Lars,Andersson,Aspvägen 566,Varberg,75228,Sverige,SE,19510502-2634,+46,+46 (0)8 910 017 64,1951-05-02,True
